model,idx,mu_alpha,mu_beta,mu_lambda,tau_alpha,tau_beta,tau_lambda
2,1,-29.8991086656459,-0.66291305372489,-4.29380642908652,1.87070262826657,0.0493800684697871,1.66355006815218
2,2,-22.5980927393387,0.0555415204612053,-3.46105363822508,36.0837082740609,0.103727194590426,1.7037182204995
2,3,2.22483144945247,-1.74571105340337,-3.04783133699278,8.08321523688285,0.587072275785092,0.0919013832566808
2,4,-6.16357711152513,-0.420499403742813,-3.97314554456559,48.1424060207534,0.653559987234704,2.46636197493387
2,5,-40.3667595978271,-0.980330136731165,-3.44240128690201,7.58803931866467,0.210939423843962,2.91054247026763
2,6,-11.0987343147314,-0.734091177867814,-2.98180050793522,5.098294199027,0.427995032163575,0.902229641320845
2,7,-4.8067809821092,0.180739495298831,-3.20154816325185,3.3439779618044,1.22051721361651,1.02655884115574
2,8,-18.0275758031423,-1.45809542741701,-3.49431967228029,4.95071306623359,0.446761207075162,0.48089773534447
2,9,24.4820498668926,-1.30914075326286,-5.87613308226896,39.0104075147407,0.314407783778705,0.013408903651756
2,10,-2.51290567032782,-1.30459322696788,-4.9463333346577,8.91169201437087,0.05277731724307,1.91163748053329
2,11,10.3335683098071,0.524615974765491,-3.34970099049358,42.4401108917309,0.419502374303178,0.475017148828366
2,12,-6.70707881946421,-0.5874891780507,-4.72262038361463,19.538691233096,1.03308770985232,0.260001617291359
2,13,-39.1898190947272,-0.144675100641564,-3.73846706317834,35.5905219003631,0.982528094871541,0.758740351122632
2,14,-11.5314079004132,-1.43483663803058,-4.26803111655757,17.727385619197,0.0351530386779715,1.10090363895124
2,15,8.2907807629332,0.159706596430554,-2.69689298336402,8.47047741937156,0.0277391407221268,0.185446080375844
2,16,-37.2246881537643,-0.971907604835923,-2.89128869532926,4.77385986501336,0.543993275743147,1.55740953811702
2,17,5.77579659841153,-0.540059029974952,-3.56465431786712,41.8522609784515,0.233345302178724,0.127461658235506
2,18,12.7290529466275,-1.18620701897601,-5.23298420626582,31.4000634296719,1.0684885043889,0.902762600118966
2,19,47.2585259134438,-0.392520975052012,-3.81974084026445,26.2093539246858,0.702259685335318,1.21549364273129
2,20,29.4132476598105,-1.19535470103073,-3.38101638637739,9.27914264050124,0.00517708888665396,0.215174274159463
2,21,27.4368600642164,-0.299056093728967,-4.06845745693955,3.92997952587633,0.399937571303968,0.853961241258215
2,22,-5.11479225420713,-1.17597587258017,-4.00712391172784,20.1171616335911,0.252894713290059,2.39849980442733
2,23,-7.49064054710336,-0.0780514317189301,-4.94639665449768,7.44773245428395,0.673256356508737,1.20148724490184
2,24,-36.8716477178164,-0.461339160750571,-2.52399685103096,30.5314680385821,0.615569024939909,0.0462550105146663
2,25,9.26254761291263,-2.06558420896048,-4.2108362009236,12.0786070198369,0.415860817587981,0.639070973047696
2,26,-9.72491455645741,-0.548685333194804,-3.35004925348409,5.26183277937235,0.383547935826775,0.601926516399575
2,27,-7.77547405004812,0.18332309874112,-1.76902066971836,6.83035342619914,0.347374286779304,1.32124951627004
2,28,11.6866455808362,-0.785424524731519,-5.15229916336958,8.46675052014358,0.861529347708479,0.387980055593527
2,29,19.9017612931715,-1.08465805667747,-4.14291752722366,24.1948502160734,0.242769363805241,1.29358465488473
2,30,-31.1709288769632,-1.26341937334723,-4.99127602759855,25.4657569385111,0.650530050537536,0.528380607575122
2,31,35.1042582261661,-0.717647942838766,-2.68123472710979,25.8367169359142,0.382771364188302,1.00913080508336
2,32,14.0318816465168,-1.02122512306198,-5.07811498039831,0.186776224587174,0.378331896498047,1.34274173234958
2,33,12.3513546507263,-0.759128092497359,-4.73146591975651,9.49290418529231,0.0244893895467406,0.190800353598981
2,34,-0.117895359481632,1.05047069488888,-5.65005871247044,35.2566520239309,0.215606804930258,0.492191039100199
2,35,9.71652366998778,0.475394621772975,-5.76099624865146,31.1763507819777,0.398767040045357,1.40437692431165
2,36,-22.5137968483375,0.308504045396041,-2.03838508569567,1.76271932104775,0.406884209499173,0.172021205219992
2,37,-21.2399355508793,0.0608217729408973,-3.99522977010993,7.28449178860434,0.266908425426232,0.99972685467604
2,38,21.0876881381901,-1.3450147955729,-3.88548536125853,25.4252159142673,0.255537938183422,0.442199680042743
2,39,27.9693226808807,0.158346880823616,-3.8554128931203,5.42384372701901,0.177843578860477,1.73560410520667
2,40,-4.88098098647957,-1.46099102084238,-3.33446012551785,8.51076508001861,0.24263131028358,0.826979634201355
2,41,-15.4410812439259,-0.256230272734682,-3.19166286869903,11.4926919638902,0.782824587860085,0.717926838299559
2,42,-4.90848602792172,0.254261719547047,-4.26288071760877,9.70818005140361,0.426003885621763,0.714060220093911
2,43,28.5993465609815,0.419879715763179,-0.922481830490185,29.298994924364,0.626974196445387,0.89383558293879
2,44,-5.43884728135785,-1.11645431501398,-4.56566159675647,13.2979825961508,1.0026670226225,0.716708630566092
2,45,25.8331023337252,0.214665190013621,-3.85997982975651,11.3994546968358,0.936968463468698,0.0527029154616842
2,46,12.0558855518047,-1.23359904790088,-4.87421209224564,26.7111419414623,0.322849000470577,1.25438228866348
2,47,-10.676395589708,-0.918681850703962,-3.77133669579545,2.99935357543915,1.39227179167523,0.115250973057817
2,48,29.1862437939581,-1.03332987931906,-3.96172079528794,2.63287960118445,0.436815835843263,0.188348815522243
2,49,37.5402195772903,-1.1565105330523,-3.0547416311924,5.0631897259074,0.416727622926786,0.127438644510004
2,50,-29.1111558902938,-0.84115970894559,-2.40368300698912,32.7893324326377,0.857933498142588,0.770086519516258
2,51,-7.14851212585574,-1.15538845834598,-3.97258008839637,31.6478202010203,0.87331609942497,1.04020912036918
2,52,-0.964415095929442,-0.844257189301044,-6.06635035504002,19.5556294262657,0.141245774015856,0.785298353460251
2,53,34.3101091872622,0.092387116630665,-2.62151201092394,30.6965999169867,1.18143940902262,0.250990584468957
2,54,-11.3909652613936,-1.60855701693911,-5.0993325244807,41.1950521381076,0.840323176808731,0.71027895363592
2,55,-5.54215981222576,-1.07112590972603,-4.60180815474309,5.73323985894154,0.340438110900226,1.80115802395852
2,56,-2.86636062903106,-0.946911660638741,-2.5929095748505,27.1999938925999,0.964584182022019,1.89664547826673
2,57,10.3661792102146,-0.410414721589673,-3.09054326519385,52.9548293564452,0.799374809618091,0.12496746712172
2,58,42.2140280991076,-0.240766936880087,-3.73441627036903,8.46634351007859,0.851144536157918,0.843793634541417
2,59,-2.90759035825092,-0.545627030487491,-3.8853062768322,38.6607106734374,0.061642024649072,0.601904145308037
2,60,18.4765810773573,-0.846323736961772,-3.40168538418887,5.70654705248301,0.499241213986696,0.490367688124622
2,61,-4.76239206328054,-0.38230632587863,-3.09300020839577,2.36854452915675,0.661126716479009,0.926337353083112
2,62,36.900075153459,-0.414143193485884,-5.20589055990642,16.5856166314516,0.0718938579026224,0.406571903680011
2,63,10.6859912678402,-2.05508342430854,-3.40631798598402,38.6083235285672,0.170417946887059,1.05916145923741
2,64,-8.18997562267848,0.0572046376657667,-2.49862140091596,32.239049620854,0.10599117135186,0.778923645644085
2,65,-35.8052179055983,0.1925728186516,-3.28679617211794,36.8987950370681,0.940989487189933,0.818073099964486
2,66,-8.58415680818256,0.501873913089305,-3.25888981646799,4.79442783238308,1.30434260303803,0.780583720080081
2,67,-16.9608137316391,-0.693557167145512,-4.32630648834829,3.63064425705229,0.244663251883651,0.0217067008237705
2,68,40.3573274734271,-0.0423096730720132,-3.16075986932839,13.3847690115209,0.0447274481831486,0.672230115363679
2,69,30.1172608692465,-1.67081736221145,-3.74200083380644,41.3116486587915,0.616046714991538,1.10752808417692
2,70,39.9596658317322,-1.06087693585078,-3.92203430216543,2.4389918400441,0.852537878748229,0.323049414302565
2,71,-10.5766950799648,-1.29695795562821,-3.77628271440671,0.496993532505933,0.784314869334696,0.493310773555435
2,72,36.3904704167854,-1.15281731034193,-2.95150616980444,10.0636637366721,0.572054266205238,1.76007630041326
2,73,47.7027548440764,-1.63601762117598,-3.24429713059001,45.3388709401977,0.535887713553924,0.475261902358362
2,74,-40.5982742054211,-1.08292314143022,-5.47855403564372,56.6749486567992,0.0590533464234248,0.971281227819574
2,75,7.69327377520588,-1.48892264806711,-5.21812972008202,51.8090670729286,0.485223309438413,1.45170340735571
2,76,3.46990382291444,-0.326088231898769,-2.70916738230075,23.2123679963835,0.0755809041309521,0.802327638703873
2,77,-6.55026564373831,-1.03707330019283,-3.80739854996676,39.0352306210309,1.45861241090393,0.527398006687965
2,78,28.2266377576494,-0.168926575106611,-4.37033964707801,10.2791279622987,0.639891460583814,1.2028605919306
2,79,-25.0192749287588,-0.833395205545058,-5.14850141474334,11.1631733857709,0.552427604430733,0.601923843316527
2,80,43.88865246429,-2.58882106266512,-4.64225142467422,34.888439276123,0.215426763630043,0.638046790892149
2,81,-14.0099661943988,-1.77370837359823,-4.63981924705361,6.16888568020323,0.72248378960263,0.281060281411394
2,82,-31.0279428719953,-0.550889550343744,-3.82790270876146,8.36415384968585,0.676863512765065,2.01042353262125
2,83,22.4188654810662,-1.15100890738406,-3.04036079088313,42.3829705107633,0.0437095560428961,0.0647617414974041
2,84,23.5054012096824,-1.34888756084888,-2.55206649171989,24.6840961882593,0.582258089397256,0.19139637658718
2,85,-1.30411068402027,-1.12489645640002,-4.12073252848942,21.8044056340793,1.43071230792699,0.647587516271813
